ApartmentID,Timestamp,Component,Building,Floor,Unit,LocX,LocY,LocZ,RotPitch,RotYaw,RotRoll,RotXMax,RotXMin,RotYMax,RotYMin,PerpendicularAngleDeg
1-07-701,2026.09.21-11.35.52:805,ViewCameraComponent701_3,1,07,701,-9113.187,-476.527,16270.000,-0.000000,-95.194434,0.000000,80.0,-80.0,40.0,-90.0,276.0
1-07-702,2026.09.21-11.35.52:805,ViewCameraComponent702_0,1,07,702,-7892.753,864.031,16270.000,0.000000,5.226954,-0.000000,50.0,-80.0,40.0,-90.0,-9.0
1-09-901,2026.09.21-11.35.52:815,ViewCameraComponent901_0,1,09,901,-10995.473,1912.541,17070.000,0.000000,141.004155,-0.000000,80.0,-80.0,40.0,-90.0,141.0
1-09-901,2026.09.21-11.35.52:815,ViewCameraComponent901_1,1,09,901,-11267.435,1269.233,17070.000,-0.000000,-173.156936,0.000000,80.0,-80.0,40.0,-90.0,186.0
1-09-901,2026.09.21-11.35.52:815,ViewCameraComponent901_2,1,09,901,-10155.959,268.049,17070.000,-0.000000,-128.936855,0.000000,70.0,-70.0,40.0,-90.0,231.0
1-09-901,2026.09.21-11.35.52:815,ViewCameraComponent901_3,1,09,901,-9108.069,-472.307,17070.000,-0.000000,-92.084847,0.000000,80.0,-80.0,40.0,-90.0,276.0
1-09-901,2026.09.21-11.35.52:816,ViewCameraComponent901_4,1,09,901,-8497.032,130.397,17070.000,0.000000,20.720784,-0.000000,50.0,-80.0,40.0,-90.0,351.0
1-09-902,2026.09.21-11.35.52:816,ViewCameraComponent902_0,1,09,902,-8100.284,640.970,17070.000,-0.000000,-95.272227,0.000000,70.0,-70.0,40.0,-90.0,321.0
1-09-902,2026.09.21-11.35.52:816,ViewCameraComponent902_1,1,09,902,-7370.487,1683.399,17070.000,0.000000,0.000000,-0.000000,80.0,-80.0,40.0,-90.0,6.0
1-09-902,2026.09.21-11.35.52:816,ViewCameraComponent902_2,1,09,902,-8683.955,2999.019,17070.000,0.000000,51.063144,-0.000000,80.0,-80.0,40.0,-90.0,51.0
1-09-902,2026.09.21-11.35.52:816,ViewCameraComponent902_3,1,09,902,-9519.951,3422.491,17070.000,0.000000,96.034482,-0.000000,80.0,-80.0,40.0,-90.0,96.0
1-09-902,2026.09.21-11.35.52:816,ViewCameraComponent902_4,1,09,902,-10403.008,2645.825,17070.000,0.000000,141.004155,-0.000000,80.0,-80.0,40.0,-90.0,141.0
